,text,seq,sizeX,sizeY
0,have,S726E,3,3
1,think,S3060066660060E,2,6
2,explain,S3060022220060E,3,6
3,know,S3606002200606E,4,6
4,recieve,S3600655006E,2,6
5,take,S36006055006E,4,6
6,give,S3600233006E,3,6
7,throw,S360020330060E,4,6
8,hold,S36002323606E,3,6
9,stand,S36003303706E,3,6
10,see,S360341006E,3,6
11,speak,S360215033002006E,6,6
12,eat,S36064606E,3,5
13,hear,S3600745006E,3,6
14,walk,S36033206E,3,6
15,is (temporal),S5000005E,3,3
16,run,S3600030302006E,4,6
17,kick,S3600201320060E,5,6
18,time,S5000005E,5,3
19,space,S3600666600607E,3,5
20,body,S5000005E,3,5
21,where,S5000005E,3,6
22,when,S3600666600607E,5,3
23,before,S7022222002422E,2,5
24,after,S7022222006462E,3,5
25,before(temporal),S3600666600607E,5,3
26,after(temporal),S5000005E,5,3
27,here,S7022330002E,2,5
28,there,S702655002E,3,5
29,now,S5023320006E,5,3
30,then,S5022330006E,5,3
31,i,S500E,1,3
32,we,S500E,1,3
33,you,S500E,1,3
34,they,S500E,1,3
35,it,S5000005E,3,3
36,will,S5E,4,6
37,do,S400E,4,4
38,be,S50E,1,3
39,this,S502330E,2,4
40,that,S506550E,2,4
41,he,S500E,1,3
42,she,S500E,1,3
